4,2,11		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team questions Masaru. What they learn here is revealed later.
2) The team decides to have Masaru confess to Shogun to regain his trust.
3) Problem is the Shogun is currently traveling to Kyoto with 300.000 soldiers
4) This is where we see how close the team has grown together."																								
																																	
POST									The team has questioned Masaru. Future plans are discussed.																								
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE																					
vocs_over_over_	_n00	vocs_over_over_bathhouse_post_n00				BROGUNSON	under the influence of narcotics	falls unconcious in the end	Teh, I don't know ... my father … doesn't share … his plans ... with me …	17	我不知道……父亲大人没有……把他的计划……告诉我……	1																					
vocs_over_over_	_n01	vocs_over_over_bathhouse_post_n01				ALCHEMIST	apologetic		That is all I can do. If we give him a higher dose he won't wake up again.	18	只能用这么大剂量。如果药量再加大，他就永远醒不过来了。	1																					
vocs_over_over_	_n02	vocs_over_over_bathhouse_post_n02				GEISHA	pragmatic		Then we must work with what we have.	8	既然问不出来，那就只能另谋他路了。	1																					
vocs_over_over_	_n03	vocs_over_over_bathhouse_post_n03				TRAPPER	with contempt	to Masaru	Let me hurt him.	4	让我也出口气。	1																					
vocs_over_over_	_n04	vocs_over_over_bathhouse_post_n04				GEISHA	in thought		He's the only chance we have to resolve this matter.	10	他是我们洗清罪名的唯一机会。	1																					
vocs_over_over_	_n05	vocs_over_over_bathhouse_post_n05				ALCHEMIST	intrigued		Hmm, you have a plan?	5	唔…看来你已经想出方法了？	1																					
vocs_over_over_	_n06	vocs_over_over_bathhouse_post_n06				GEISHA	leader		The Shogun would never believe us if we tried to explain ourselves. But if Masaru confessed to him that he is Ryūnosuke's murderer, it might turn things in our favour.	30	将军不会相信我们说的话，但是假如让真申亲口承认他是杀死龙之介的真凶，或许就能扭转乾坤。	1																					
vocs_over_over_	_n07	vocs_over_over_bathhouse_post_n07				TRAPPER	puzzled		So we … give him to the Shogun? Like a package?	11	所以我们……要像送礼一样，把他亲手交给将军吗？	1																					
vocs_over_over_	_n08	vocs_over_over_bathhouse_post_n08				NINJA	worried		It won't be easy with that bounty on our heads.	10	没这么简单吧，我们可都是被通缉的要犯。	1																					
vocs_over_over_	_n09	vocs_over_over_bathhouse_post_n09				ALCHEMIST	troubled		There's more. Yuki and I overheard some news when we were out. The Shogun left Edo not long ago.	19	对了，之前友希和我外出时，听说将军不久前刚离开江户。	1																					
