2,3,11														
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE		
vo_eny_eny_	enemy_00_	alarm_area_00	vo_eny_eny_enemy_00_alarm_area_00	omuk	hambo	Enemy	high tension	sounds the alarm	Sound the alarm!	3	快发警报！	1		
vo_eny_eny_	enemy_00_	alarm_area_01	vo_eny_eny_enemy_00_alarm_area_01	omuk	hambo	Enemy	high tension	sounds the alarm	We are under attack!	4	我们受到了攻击!	1		
vo_eny_eny_	enemy_00_	alarm_area_02	vo_eny_eny_enemy_00_alarm_area_02	omuk	hambo	Enemy	high tension	sounds the alarm	To arms!	2	武装起来！	1		
vo_eny_eny_	enemy_00_	alarm_area_03	vo_eny_eny_enemy_00_alarm_area_03	omuk	hambo	Enemy	high tension	sounds the alarm	Call reinforcements!	2	叫增援!	1		
vo_eny_eny_	enemy_00_	alarm_area_04	vo_eny_eny_enemy_00_alarm_area_04	omuk	hambo	Enemy	high tension	sounds the alarm	Alert the others!	3	警告其他人!	1		
vo_eny_eny_	enemy_00_	alarm_local_00	vo_eny_eny_enemy_00_alarm_local_00	omuk	hambo	Enemy	urgent, tense	calls for backup	Over here!	2	在这里!	1		
vo_eny_eny_	enemy_00_	alarm_local_01	vo_eny_eny_enemy_00_alarm_local_01	omuk	hambo	Enemy	urgent, tense	calls for backup	To me!	2	到我这儿来！	1		
vo_eny_eny_	enemy_00_	alarm_local_02	vo_eny_eny_enemy_00_alarm_local_02	omuk	hambo	Enemy	urgent, tense	calls for backup	I need backup!	3	我需要支援！	1		
vo_eny_eny_	enemy_00_	alarm_local_03	vo_eny_eny_enemy_00_alarm_local_03	omuk	hambo	Enemy	urgent, tense	calls for backup	Help!	1	救命！	1		
vo_eny_eny_	enemy_00_	alarm_local_04	vo_eny_eny_enemy_00_alarm_local_04	omuk	hambo	Enemy	urgent, tense	calls for backup	Assemble!	1	集合！	1		
vo_eny_eny_	enemy_00_	alarm_local_05	vo_eny_eny_enemy_00_alarm_local_05	omuk	hambo	Enemy	urgent, tense	calls for backup	Men!	1	都过来！	1		
vo_eny_eny_	enemy_00_	alarm_local_06	vo_eny_eny_enemy_00_alarm_local_06	omuk	hambo	Enemy	urgent, tense	curses	Damn!	1	该死！	1		
vo_eny_eny_	enemy_00_	alarm_stop_00	vo_eny_eny_enemy_00_alarm_stop_00	omuk	hambo	Enemy	commanding	end of alarm	They have escaped! Stop the alarm!	6	让他们逃了！警报解除！	1		
vo_eny_eny_	enemy_00_	alarm_stop_01	vo_eny_eny_enemy_00_alarm_stop_01	omuk	hambo	Enemy	commanding	end of alarm	It is over! Back to routine!	6	没事了！各回岗位！	1		
vo_eny_eny_	enemy_00_	alarm_stop_02	vo_eny_eny_enemy_00_alarm_stop_02	omuk	hambo	Enemy	commanding	end of alarm	They must have fled! Cease the alarm!	7	看来已经逃走了,警报解除！	1		
vo_eny_eny_	enemy_00_	alarm_stop_03	vo_eny_eny_enemy_00_alarm_stop_03	omuk	hambo	Enemy	commanding	end of alarm	No danger! At ease, everyone!	5	没有危险了！大家解散！	1		
vo_eny_eny_	enemy_00_	alarm_stop_04	vo_eny_eny_enemy_00_alarm_stop_04	omuk	hambo	Enemy	commanding	end of alarm	We have driven them off!	5	已经把他们赶跑了！	1		
vo_eny_eny_	enemy_00_	alarm_stop_05	vo_eny_eny_enemy_00_alarm_stop_05	omuk	hambo	Enemy	commanding	end of alarm	All clear!	2	警报解除！	1		
vo_eny_eny_	enemy_00_	carry_object_00	vo_eny_eny_enemy_00_carry_object_00	omuk		Enemy		(sound) carries heavy object		0		0		
vo_eny_eny_	enemy_00_	clear_throat_00	vo_eny_eny_enemy_00_clear_throat_00	omuk		Enemy		(sound) clears throat		0		0		
vo_eny_eny_	enemy_00_	cough_00	vo_eny_eny_enemy_00_cough_00	omuk		Enemy		(sound) coughs		0		0		
vo_eny_eny_	enemy_00_	danger_toohigh_00	vo_eny_eny_enemy_00_danger_toohigh_00	omuk	hambo	Enemy	angry	has seen a player far above him	They're up there!	3	他们在上方!	1		
vo_eny_eny_	enemy_00_	danger_toohigh_01	vo_eny_eny_enemy_00_danger_toohigh_01	omuk	hambo	Enemy	angry	has seen a player far above him	They're above us!	3	在我们上面！	1		
vo_eny_eny_	enemy_00_	danger_toohigh_02	vo_eny_eny_enemy_00_danger_toohigh_02	omuk	hambo	Enemy	angry	has seen a player far above him	They're attacking from above!	4	是从上方攻击的!	1		
vo_eny_eny_	enemy_00_	danger_unreachable_00	vo_eny_eny_enemy_00_danger_unreachable_00	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	Cowards! Fight like men!	4	懦夫！有本事像男人一样战斗!	1		
vo_eny_eny_	enemy_00_	danger_unreachable_01	vo_eny_eny_enemy_00_danger_unreachable_01	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	How did they get there?	5	他们是怎么到那种地方的?	1		
vo_eny_eny_	enemy_00_	danger_unreachable_02	vo_eny_eny_enemy_00_danger_unreachable_02	omuk	hambo	Enemy	angry	has seen a player, but can't get to that spot	I cannot reach them!	4	我无法接近他们…	1		
vo_eny_eny_	enemy_00_	death_scream_00	vo_eny_eny_enemy_00_death_scream_00	omuk	hambo	Enemy	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_01	vo_eny_eny_enemy_00_death_scream_01	omuk	hambo	Enemy	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_02	vo_eny_eny_enemy_00_death_scream_02	omuk	hambo	Enemy	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_03	vo_eny_eny_enemy_00_death_scream_03	omuk	hambo	Enemy	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_04	vo_eny_eny_enemy_00_death_scream_04	omuk	hambo	Enemy	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_muffled_00	vo_eny_eny_enemy_00_death_scream_muffled_00	omuk	hambo	Enemy	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_muffled_01	vo_eny_eny_enemy_00_death_scream_muffled_01	omuk	hambo	Enemy	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_muffled_02	vo_eny_eny_enemy_00_death_scream_muffled_02	omuk	hambo	Enemy	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_muffled_03	vo_eny_eny_enemy_00_death_scream_muffled_03	omuk	hambo	Enemy	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	enemy_00_	death_scream_muffled_04	vo_eny_eny_enemy_00_death_scream_muffled_04	omuk	hambo	Enemy	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	enemy_00_	detect_corpse_female_02	vo_eny_eny_enemy_00_detect_corpse_female_02	omuk		Enemy	shocked	sees a corpse	She's dead!	2	她死了！	1		
vo_eny_eny_	enemy_00_	detect_corpse_female_03	vo_eny_eny_enemy_00_detect_corpse_female_03	omuk		Enemy	shocked	sees a corpse	They killed her!	3	他们杀了她！	1		
vo_eny_eny_	enemy_00_	detect_corpse_male_00	vo_eny_eny_enemy_00_detect_corpse_male_00	omuk		Enemy	shocked	sees a corpse	He is dead!	3	他死了！	1		
vo_eny_eny_	enemy_00_	detect_corpse_male_01	vo_eny_eny_enemy_00_detect_corpse_male_01	omuk		Enemy	shocked	sees a corpse	They killed him!	3	他们杀了他！	1		
vo_eny_eny_	enemy_00_	detect_corpse_neutral_02	vo_eny_eny_enemy_00_detect_corpse_neutral_02	omuk	hambo	Enemy	shocked	sees a corpse	Murder!	1	杀人了！	1		
vo_eny_eny_	enemy_00_	detect_corpse_neutral_03	vo_eny_eny_enemy_00_detect_corpse_neutral_03	omuk	hambo	Enemy	shocked	sees a corpse	Assassins!	1	有刺客！	1		
vo_eny_eny_	enemy_00_	detect_footsteps_00	vo_eny_eny_enemy_00_detect_footsteps_00	omuk	hambo	Enemy	suspicious	sees player footprints	Hrm? Footprints …	3	嗯？脚印……	1		
vo_eny_eny_	enemy_00_	detect_footsteps_01	vo_eny_eny_enemy_00_detect_footsteps_01	omuk	hambo	Enemy	suspicious	sees player footprints	Who made those footprints?	4	是谁的脚印？	1		
vo_eny_eny_	enemy_00_	detect_footsteps_02	vo_eny_eny_enemy_00_detect_footsteps_02	omuk	hambo	Enemy	suspicious	sees player footprints	Who left those tracks!	4	是谁留下了的足迹！	1		
vo_eny_eny_	enemy_00_	detect_footsteps_03	vo_eny_eny_enemy_00_detect_footsteps_03	omuk	hambo	Enemy	suspicious	sees player footprints	Those tracks are foreign!	4	是外人的足迹	1		
