2,3,11														
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE		
vo_eny_eny_	civilian_00_	carry_object_00	vo_eny_eny_civilian_00_carry_object_00	omuk		Civilian M		(sound) carries heavy object		0		0		
vo_eny_eny_	civilian_00_	clear_throat_00	vo_eny_eny_civilian_00_clear_throat_00	omuk		Civilian M		(sound) clears throat		0		0		
vo_eny_eny_	civilian_00_	cough_00	vo_eny_eny_civilian_00_cough_00	omuk		Civilian M		(sound) coughs		0		0		
vo_eny_eny_	civilian_00_	death_scream_00	vo_eny_eny_civilian_00_death_scream_00	omuk	hambo	Civilian M	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_01	vo_eny_eny_civilian_00_death_scream_01	omuk	hambo	Civilian M	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_02	vo_eny_eny_civilian_00_death_scream_02	omuk	hambo	Civilian M	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_03	vo_eny_eny_civilian_00_death_scream_03	omuk	hambo	Civilian M	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_04	vo_eny_eny_civilian_00_death_scream_04	omuk	hambo	Civilian M	shocked	(sound) short deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_muffled_00	vo_eny_eny_civilian_00_death_scream_muffled_00	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_muffled_01	vo_eny_eny_civilian_00_death_scream_muffled_01	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_muffled_02	vo_eny_eny_civilian_00_death_scream_muffled_02	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_muffled_03	vo_eny_eny_civilian_00_death_scream_muffled_03	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound		0		0		
vo_eny_eny_	civilian_00_	death_scream_muffled_04	vo_eny_eny_civilian_00_death_scream_muffled_04	omuk	hambo	Civilian M	struggling	(sound) muffled deathsound		0		0		
