2,3,9									
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN
vo_eny_eny_	brogunson_	death_scream_00	vo_eny_eny_brogunson_death_scream_00	omuk	hambo	Brogunson	shocked	(sound) short deathsound	
vo_eny_eny_	brogunson_	death_scream_01	vo_eny_eny_brogunson_death_scream_01	omuk	hambo	Brogunson	shocked	(sound) short deathsound	
vo_eny_eny_	brogunson_	death_scream_02	vo_eny_eny_brogunson_death_scream_02	omuk	hambo	Brogunson	shocked	(sound) short deathsound	
vo_eny_eny_	brogunson_	death_scream_03	vo_eny_eny_brogunson_death_scream_03	omuk	hambo	Brogunson	shocked	(sound) short deathsound	
vo_eny_eny_	brogunson_	death_scream_04	vo_eny_eny_brogunson_death_scream_04	omuk	hambo	Brogunson	shocked	(sound) short deathsound	
vo_eny_eny_	brogunson_	death_scream_muffled_00	vo_eny_eny_brogunson_death_scream_muffled_00	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogunson_	death_scream_muffled_01	vo_eny_eny_brogunson_death_scream_muffled_01	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogunson_	death_scream_muffled_02	vo_eny_eny_brogunson_death_scream_muffled_02	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogunson_	death_scream_muffled_03	vo_eny_eny_brogunson_death_scream_muffled_03	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogunson_	death_scream_muffled_04	vo_eny_eny_brogunson_death_scream_muffled_04	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound	
vo_eny_eny_	brogunson_	detect_corpse_female_02	vo_eny_eny_brogunson_detect_corpse_female_02	omuk		Brogunson	shocked	sees a corpse	死んでるぞ！
vo_eny_eny_	brogunson_	detect_corpse_female_03	vo_eny_eny_brogunson_detect_corpse_female_03	omuk		Brogunson	shocked	sees a corpse	奴らに殺されたか！
vo_eny_eny_	brogunson_	detect_corpse_male_00	vo_eny_eny_brogunson_detect_corpse_male_00	omuk		Brogunson	shocked	sees a corpse	お陀仏だな。
vo_eny_eny_	brogunson_	detect_corpse_male_01	vo_eny_eny_brogunson_detect_corpse_male_01	omuk		Brogunson	shocked	sees a corpse	奴らの仕業か！
vo_eny_eny_	brogunson_	detect_corpse_neutral_00	vo_eny_eny_brogunson_detect_corpse_neutral_00	omuk	hambo	Brogunson	shocked	sees a corpse	誰か！殺人だ！
vo_eny_eny_	brogunson_	detect_corpse_neutral_01	vo_eny_eny_brogunson_detect_corpse_neutral_01	omuk	hambo	Brogunson	shocked	sees a corpse	人殺しがいるぞ！
vo_eny_eny_	brogunson_	detect_lightsource_00	vo_eny_eny_brogunson_detect_lightsource_00	omuk	hambo	Brogunson	solemn	sees extiguished lamp	誰かその灯篭を直しとけ！
vo_eny_eny_	brogunson_	detect_lightsource_01	vo_eny_eny_brogunson_detect_lightsource_01	omuk	hambo	Brogunson	solemn	sees extiguished lamp	灯篭の手入れもできんのか！
vo_eny_eny_	brogunson_	detect_lightsource_02	vo_eny_eny_brogunson_detect_lightsource_02	omuk	hambo	Brogunson	annoyed	sees extiguished lamp	明かりが消えてるぞ！
vo_eny_eny_	brogunson_	detect_player_00	vo_eny_eny_brogunson_detect_player_00	omuk	hambo	Brogunson	frightened	sees a player character	奴らだ！
vo_eny_eny_	brogunson_	detect_player_01	vo_eny_eny_brogunson_detect_player_01	omuk	hambo	Brogunson	frightened	sees a player character	お前…！
vo_eny_eny_	brogunson_	detect_player_02	vo_eny_eny_brogunson_detect_player_02	omuk	hambo	Brogunson	frightened	sees a player character	見たことのある顔だな！
vo_eny_eny_	brogunson_	detect_player_proximity_00	vo_eny_eny_brogunson_detect_player_proximity_00	omuk	hambo	Brogunson	tense	senses a nearby player character	この感覚…。
vo_eny_eny_	brogunson_	detect_player_proximity_01	vo_eny_eny_brogunson_detect_player_proximity_01	omuk	hambo	Brogunson	tense	senses a nearby player character	今、何か見えたような…。
vo_eny_eny_	brogunson_	detect_player_proximity_02	vo_eny_eny_brogunson_detect_player_proximity_02	omuk	hambo	Brogunson	tense	senses a nearby player character	近くに誰かいるぞ…。
vo_eny_eny_	brogunson_	detect_unconscious_female_01	vo_eny_eny_brogunson_detect_unconscious_female_01	omuk		Brogunson	shocked	sees unconcious person	ひどくやられてるな。
vo_eny_eny_	brogunson_	detect_unconscious_female_02	vo_eny_eny_brogunson_detect_unconscious_female_02	omuk		Brogunson	shocked	sees unconcious person	気を失っているようだ。
vo_eny_eny_	brogunson_	detect_unconscious_female_03	vo_eny_eny_brogunson_detect_unconscious_female_03	omuk		Brogunson	shocked	sees unconcious person	襲われたようだな。
vo_eny_eny_	brogunson_	detect_unconscious_male_00	vo_eny_eny_brogunson_detect_unconscious_male_00	omuk		Brogunson	shocked	sees unconcious person	ひどくやられてるな。
vo_eny_eny_	brogunson_	detect_unconscious_male_01	vo_eny_eny_brogunson_detect_unconscious_male_01	omuk		Brogunson	shocked	sees unconcious person	気を失っているぞ。
