PREFIX	CHAR	ACTION	SUFFIX	NAME	Variation	Loop	Gameplay	REC.	IMPL.	used for	SPEAKER	MOOD	COMMENT	EN	CEN	DE	CDE	EN - Proofread	Changed?	Simplified Chinese	
vo_ply_ply_	nin_	char_select_	normal_00	vo_ply_ply_nin_char_select_normal_00	Iconic	No	Yes	omuk	philipp	sel character	Ninja	stealthy		Time to move.	3		0	Time to move.		该走了	
vo_ply_ply_	nin_	char_select_	normal_01	vo_ply_ply_nin_char_select_normal_01				omuk	philipp	sel character	Ninja	stealthy		Let's get to work.	4		0	Let's get to work.		干活了	
vo_ply_ply_	nin_	char_select_	normal_02	vo_ply_ply_nin_char_select_normal_02				omuk	philipp	sel character	Ninja	stealthy		Teh, I'm waiting.	3		0	I'm waiting.	YES	等候指示	
vo_ply_ply_	nin_	char_select_	normal_03	vo_ply_ply_nin_char_select_normal_03				omuk	philipp	sel character	Ninja	stealthy		No use waiting.	3		0	No use waiting.		干等也没有用	
vo_ply_ply_	nin_	char_select_	normal_04	vo_ply_ply_nin_char_select_normal_04				omuk	philipp	sel character	Ninja	stealthy		Calm. Focus.	2		0	Calm. Focus.		冷静，专注	
vo_ply_ply_	nin_	char_select_	normal_05	vo_ply_ply_nin_char_select_normal_05				omuk	philipp	sel character	Ninja	stealthy		Skill over numbers.	3		0	Skill over numbers.		技术大于数量	
vo_ply_ply_	nin_	char_select_	normal_06	vo_ply_ply_nin_char_select_normal_06				omuk	philipp	sel character	Ninja	stealthy		Let's get going.	3		0	Let's get going.		行动吧	
vo_ply_ply_	nin_	char_select_	normal_07	vo_ply_ply_nin_char_select_normal_07				omuk	philipp	sel character	Ninja	stealthy		I'm ready.	2		0	I'm ready.		准备就绪	
vo_ply_ply_	nin_	char_select_	normal_08	vo_ply_ply_nin_char_select_normal_08				omuk	philipp	sel character	Ninja	stealthy		Always ready.	2		0	Always ready.		时刻准备着	
vo_ply_ply_	nin_	char_select_	normal_09	vo_ply_ply_nin_char_select_normal_09				omuk	philipp	sel character	Ninja	stealthy		My blade is sharp.	4		0	My blade is sharp.		利刃出鞘	
vo_ply_ply_	nin_	char_select_	normal_10	vo_ply_ply_nin_char_select_normal_10				omuk	philipp	sel character	Ninja	stealthy		Seishin Teki Kyoyo	3		0	Seishin Teki Kyoyo.	YES	修养心性	
vo_ply_ply_	nin_	char_select_	tense_00	vo_ply_ply_nin_char_select_tense_00				omuk	philipp	sel character	Ninja	tense		Time to move!	3		0	Time to move!		该走了！	
vo_ply_ply_	nin_	char_select_	tense_01	vo_ply_ply_nin_char_select_tense_01				omuk	philipp	sel character	Ninja	tense		No time to waste.	4		0	No time to waste.		没时间可以浪费	
vo_ply_ply_	nin_	char_select_	tense_02	vo_ply_ply_nin_char_select_tense_02				omuk	philipp	sel character	Ninja	tense		Careful now.	2		0	Careful now.		小心	
vo_ply_ply_	nin_	char_select_	tense_03	vo_ply_ply_nin_char_select_tense_03				omuk	philipp	sel character	Ninja	tense		It's not safe here.	4		0	It's not safe here.		这里不安全	
vo_ply_ply_	nin_	char_select_	tense_04	vo_ply_ply_nin_char_select_tense_04				omuk	philipp	sel character	Ninja	tense		Enemies everywhere.	2		0	Enemies everywhere.		到处都是敌人	
vo_ply_ply_	nin_	char_select_	tense_05	vo_ply_ply_nin_char_select_tense_05				omuk	philipp	sel character	Ninja	tense		Guards everywhere.	2		0	Guards everywhere.		到处都是守卫	
vo_ply_ply_	nin_	char_select_	tense_06	vo_ply_ply_nin_char_select_tense_06				omuk	philipp	sel character	Ninja	tense		Shouldn't wait here.	3		0	Shouldn't wait here.		此地不宜久留	
