2,3,11												
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE
vo_eny_eny_	brogunson_	death_scream_00	vo_eny_eny_brogunson_death_scream_00	omuk	hambo	Brogunson	shocked	(sound) short deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_01	vo_eny_eny_brogunson_death_scream_01	omuk	hambo	Brogunson	shocked	(sound) short deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_02	vo_eny_eny_brogunson_death_scream_02	omuk	hambo	Brogunson	shocked	(sound) short deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_03	vo_eny_eny_brogunson_death_scream_03	omuk	hambo	Brogunson	shocked	(sound) short deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_04	vo_eny_eny_brogunson_death_scream_04	omuk	hambo	Brogunson	shocked	(sound) short deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_muffled_00	vo_eny_eny_brogunson_death_scream_muffled_00	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_muffled_01	vo_eny_eny_brogunson_death_scream_muffled_01	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_muffled_02	vo_eny_eny_brogunson_death_scream_muffled_02	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_muffled_03	vo_eny_eny_brogunson_death_scream_muffled_03	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	brogunson_	death_scream_muffled_04	vo_eny_eny_brogunson_death_scream_muffled_04	omuk	hambo	Brogunson	struggling	(sound) muffled deathsound		0		0
vo_eny_eny_	brogunson_	detect_corpse_female_02	vo_eny_eny_brogunson_detect_corpse_female_02	omuk		Brogunson	shocked	sees a corpse	She's dead!	2	她死了！	1
vo_eny_eny_	brogunson_	detect_corpse_female_03	vo_eny_eny_brogunson_detect_corpse_female_03	omuk		Brogunson	shocked	sees a corpse	They killed her!	3	他们杀了她！	1
vo_eny_eny_	brogunson_	detect_corpse_male_00	vo_eny_eny_brogunson_detect_corpse_male_00	omuk		Brogunson	shocked	sees a corpse	He is dead!	3	他死了！	1
vo_eny_eny_	brogunson_	detect_corpse_male_01	vo_eny_eny_brogunson_detect_corpse_male_01	omuk		Brogunson	shocked	sees a corpse	They killed him!	3	他们杀了他！	1
vo_eny_eny_	brogunson_	detect_corpse_neutral_00	vo_eny_eny_brogunson_detect_corpse_neutral_00	omuk	hambo	Brogunson	shocked	sees a corpse	Help! Murder!	2	救命！杀人了！	1
vo_eny_eny_	brogunson_	detect_corpse_neutral_01	vo_eny_eny_brogunson_detect_corpse_neutral_01	omuk	hambo	Brogunson	shocked	sees a corpse	There's a killer!	3	附近有杀手！	1
vo_eny_eny_	brogunson_	detect_lightsource_00	vo_eny_eny_brogunson_detect_lightsource_00	omuk	hambo	Brogunson	solemn	sees extiguished lamp	Someone fix that light!	4	快来人去点亮！	1
vo_eny_eny_	brogunson_	detect_lightsource_01	vo_eny_eny_brogunson_detect_lightsource_01	omuk	hambo	Brogunson	solemn	sees extiguished lamp	Who let that go out?	5	灯是谁灭的？	1
vo_eny_eny_	brogunson_	detect_lightsource_02	vo_eny_eny_brogunson_detect_lightsource_02	omuk	hambo	Brogunson	annoyed	sees extiguished lamp	The flame died.	3	火灭了！	1
vo_eny_eny_	brogunson_	detect_player_00	vo_eny_eny_brogunson_detect_player_00	omuk	hambo	Brogunson	frightened	sees a player character	It's them!	2	是他们!	1
vo_eny_eny_	brogunson_	detect_player_01	vo_eny_eny_brogunson_detect_player_01	omuk	hambo	Brogunson	frightened	sees a player character	You!	1	是你！	1
vo_eny_eny_	brogunson_	detect_player_02	vo_eny_eny_brogunson_detect_player_02	omuk	hambo	Brogunson	frightened	sees a player character	I know you!	3	我认识你！	1
vo_eny_eny_	brogunson_	detect_player_proximity_00	vo_eny_eny_brogunson_detect_player_proximity_00	omuk	hambo	Brogunson	tense	senses a nearby player character	That feeling …	3	这种感觉是……	1
vo_eny_eny_	brogunson_	detect_player_proximity_01	vo_eny_eny_brogunson_detect_player_proximity_01	omuk	hambo	Brogunson	tense	senses a nearby player character	Corner of my eye.	4	我好像瞄到什么	1
vo_eny_eny_	brogunson_	detect_player_proximity_02	vo_eny_eny_brogunson_detect_player_proximity_02	omuk	hambo	Brogunson	tense	senses a nearby player character	Someone is close …	4	有人在附近……	1
vo_eny_eny_	brogunson_	detect_unconscious_female_01	vo_eny_eny_brogunson_detect_unconscious_female_01	omuk		Brogunson	shocked	sees unconcious person	She was hit hard.	4	她受了重击	1
vo_eny_eny_	brogunson_	detect_unconscious_female_02	vo_eny_eny_brogunson_detect_unconscious_female_02	omuk		Brogunson	shocked	sees unconcious person	She is unconscious.	3	她晕过去了	1
vo_eny_eny_	brogunson_	detect_unconscious_female_03	vo_eny_eny_brogunson_detect_unconscious_female_03	omuk		Brogunson	shocked	sees unconcious person	She was attacked.	3	她被袭击了	1
vo_eny_eny_	brogunson_	detect_unconscious_male_00	vo_eny_eny_brogunson_detect_unconscious_male_00	omuk		Brogunson	shocked	sees unconcious person	He was hit hard.	4	他受了重击	1
vo_eny_eny_	brogunson_	detect_unconscious_male_01	vo_eny_eny_brogunson_detect_unconscious_male_01	omuk		Brogunson	shocked	sees unconcious person	He is unconscious.	3	他晕过去了	1
