5,2,9		"CUTSCENE
CONTEXT DIALOG"				"NINJA
TRAPPER
WARRIOR
ALCHEMIST
GEISHA
TANUKI
SHOGUN
SHOGUNSON
DAIMYO
GENERAL
BROGUN
BROGUNSON"	"Hayato 
Yuki 
Ōshiro Mugen
Takuma 
Aiko 
Kuma
Shogun
Ryūnosuke
Yabu
Okkoto
Noboru
Masaru"	STORY:	"1) The team discusses their attack against the Daimyo Yabu
2) Takuma urges them to take action because he wants revenge
3) Mugen decides that an attack on Yabu's mansion is justified
4) The plan is to either aprehend or kill Yabu before he escapes
5) Mugen and Aiko will report to the Shogun
6) Hayato, Yuki and Takuma will face Yabu"
									
POST									The team plans their next move in the meeting place.
PREFIX	SUFFIX	NAME	REC.	IMPL.	IMPL. BY	SPEAKER	MOOD	COMMENT	EN
						TITLECARD			隠れ家にて
vocs_over_over_	_n00	vocs_over_over_monastery1_post_n00				NINJA	impressed		つまり、大砲の一撃を食らっておいて失ったのは足一本？正直、驚いたな。今はどうしているんだ？
vocs_over_over_	_n01	vocs_over_over_monastery1_post_n01				WARRIOR	pondering		かの人には我らが道具や物資を供給しておる。以来、薬室にて働いておられる。
vocs_over_over_	_n02	vocs_over_over_monastery1_post_n02				GEISHA	skeptical		上様のために戦いに加わりたいみたいだったわ。けど、どうやって成し遂げるつもりなのかしら、その…障碍で。
vocs_over_over_	_n03	vocs_over_over_monastery1_post_n03				WARRIOR	reassuring		なに、すぐにわかる。密偵はどうであった、隼人殿？
vocs_over_over_	_n04	vocs_over_over_monastery1_post_n04				NINJA	it was OK	to Table	藪の御殿を見てきた。広くて、守りは堅い。塀で囲まれていたが、雪が中に入れる所を見つけた。
vocs_over_over_	_n05	vocs_over_over_monastery1_post_n05				WARRIOR	planning		頼もしいな。そういえば、雪殿はどこにおるのだ？
vocs_over_over_	_n06	vocs_over_over_monastery1_post_n06				TRAPPER	enthusiastic	enters the room	はい、お侍さん！
vocs_over_over_	_n07	vocs_over_over_monastery1_post_n07				ALCHEMIST	cheerful	Takuma and his Tanuki enter	へっへ、武源よ、若い衆は実に好奇心があるのう。
vocs_over_over_	_n08	vocs_over_over_monastery1_post_n08				NINJA	aknowledging		会えて嬉しいよ、爺さん。
vocs_over_over_	_n09	vocs_over_over_monastery1_post_n09				ALCHEMIST	cheerful		おお、若い忍の隼人じゃの。ワシも嬉しいぞい。
vocs_over_over_	_n10	vocs_over_over_monastery1_post_n10				WARRIOR	approving	Yuki spots Tanuki	巧磨殿、もう準備が整いましたか？
vocs_over_over_	_n11	vocs_over_over_monastery1_post_n11				ALCHEMIST	cheerful		ちと、体が鈍ってしもうたかの。
vocs_over_over_	_n12	vocs_over_over_monastery1_post_n12				ALCHEMIST	cheerful	feels the weight of the backpack	荷物は軽く感じるわい。
vocs_over_over_	_n13	vocs_over_over_monastery1_post_n13				WARRIOR	moving on	Yuki goes to Tanuki and  plays with it.	では、作戦を話合おう。
vocs_over_over_	_n14	vocs_over_over_monastery1_post_n14				WARRIOR	planning	everyone else at the table	藪大名の悪行は明るみになった。カゲサマと繋がっているだけかもしれないが、拙者は奴こそが張本人だと考えておる。
vocs_over_over_	_n15	vocs_over_over_monastery1_post_n15				NINJA	practical		方法はひとつしか無いな。奴に近づくにはもう動いた方がよさそうだ。
vocs_over_over_	_n16	vocs_over_over_monastery1_post_n16				WARRIOR	considering		奴が直に我らに気づくのは間違いない。最も危険な作戦になるかもしれぬな。
vocs_over_over_	_n17	vocs_over_over_monastery1_post_n17				ALCHEMIST	determined	puts a box on the table	うーむ、ならその心構えがほしいのぅ。これを一人ひとりにつくったんじゃよ。
vocs_over_over_	_n18	vocs_over_over_monastery1_post_n18				NINJA	"curious
appreciating"	takes a gun from the box	火縄銃か？見たこともないほど小さい…が、よくできているな、爺さん。
vocs_over_over_	_n19	vocs_over_over_monastery1_post_n19				ALCHEMIST	thankful for the rescue	puts a box on the table	最終手段として使うんじゃ。ワシの一つ目の貢献じゃ。ほっほ、次のは藪討伐となるじゃろう。
vocs_over_over_	_n20	vocs_over_over_monastery1_post_n20				NINJA	practical	puts the gun away	なら、俺が一緒に行くぜ。あらゆる助けが必要だろう。
vocs_over_over_	_n21	vocs_over_over_monastery1_post_n21				TRAPPER	enthusiastic	stops petting the tanuki	あたしも行く！
vocs_over_over_	_n22	vocs_over_over_monastery1_post_n22				ALCHEMIST	thankful for the rescue		ありがとう、感謝するぞい。
vocs_over_over_	_n23	vocs_over_over_monastery1_post_n23				WARRIOR	determined		よし。必要なことはなんでも協力致そう。では拙者は江戸へ向かう。上様へ計画をお伝えせねばなるまい。
vocs_over_over_	_n24	vocs_over_over_monastery1_post_n24				GEISHA	elegant		なら、私も共に向かうわ。戦場以外で2人でいられるのは久しぶりになるわね。
vocs_over_over_	_n25	vocs_over_over_monastery1_post_n25				WARRIOR	determined	Mugen and Aiko leave the room	嬉しいことだ、愛琥殿。では準備をさせていただこう。
vocs_over_over_	_n26	vocs_over_over_monastery1_post_n26				NINJA	smug		つまり、この三人だけで警備のきつい御殿にいる大名様に対抗するって訳わけか。見込みの低い作戦だな。
vocs_over_over_	_n27	vocs_over_over_monastery1_post_n27				TRAPPER	sneaky		盗まれたがってるものもあるだろうけど、その子たちのためにやるんじゃない。藪大名を倒すため！
vocs_over_over_	_n28	vocs_over_over_monastery1_post_n28				ALCHEMIST	cheerful		うーむ…傭兵と子ども。どんな物語になるんじゃろうの、ほっほっほ。
									
									
									
									
									
									
									
									
