2,3,11												
PREFIX	TYPE	SUFFIX	NAME	REC.	IMPL.	SPEAKER	MOOD	COMMENT	EN	CEN	Simplified Chinese	CDE
vo_eny_eny_	samurai_00_	alarm_area_00	vo_eny_eny_samurai_00_alarm_area_00	omuk	hambo	Samurai	high tension	sounds the alarm	Alarm! Sound the alarm!	4	警报！快发警报！	1
vo_eny_eny_	samurai_00_	alarm_area_01	vo_eny_eny_samurai_00_alarm_area_01	omuk	hambo	Samurai	high tension	sounds the alarm	We're under attack!	3	我们受到了攻击!	1
vo_eny_eny_	samurai_00_	alarm_area_02	vo_eny_eny_samurai_00_alarm_area_02	omuk	hambo	Samurai	high tension	sounds the alarm	To arms!	2	准备战斗！	1
vo_eny_eny_	samurai_00_	alarm_area_03	vo_eny_eny_samurai_00_alarm_area_03	omuk	hambo	Samurai	high tension	sounds the alarm	Call reinforcements!	2	呼叫增援!	1
vo_eny_eny_	samurai_00_	alarm_area_04	vo_eny_eny_samurai_00_alarm_area_04	omuk	hambo	Samurai	high tension	sounds the alarm	Alert the others!	3	警告其他人!	1
vo_eny_eny_	samurai_00_	alarm_local_00	vo_eny_eny_samurai_00_alarm_local_00	omuk	hambo	Samurai	urgent, tense	calls for backup	Over here!	2	在这里!	1
vo_eny_eny_	samurai_00_	alarm_local_01	vo_eny_eny_samurai_00_alarm_local_01	omuk	hambo	Samurai	urgent, tense	calls for backup	To me!	2	到我这儿来！	1
vo_eny_eny_	samurai_00_	alarm_local_02	vo_eny_eny_samurai_00_alarm_local_02	omuk	hambo	Samurai	urgent, tense	calls for backup	I need backup!	3	我需要支援！	1
vo_eny_eny_	samurai_00_	alarm_local_03	vo_eny_eny_samurai_00_alarm_local_03	omuk	hambo	Samurai	urgent, tense	calls for backup	Help!	1	救命！	1
vo_eny_eny_	samurai_00_	alarm_local_04	vo_eny_eny_samurai_00_alarm_local_04	omuk	hambo	Samurai	urgent, tense	calls for backup	Assemble!	1	集合！	1
vo_eny_eny_	samurai_00_	alarm_local_05	vo_eny_eny_samurai_00_alarm_local_05	omuk	hambo	Samurai	urgent, tense	calls for backup	Men!	1	都过来！	1
